generation;evaluationTime;orderTime;fusionTime;totalTime;correlation;acuracy;acuracyAvarange;acuracyVariace
1;909302;1152;740;909302;0;915286;0;0
2;829046;731;673;829046;0;454369;0;0
3;818078;726;431;818078;0;454369;0;0
4;848390;791;504;848390;0;454369;0;0
5;835970;861;327;835970;0;454369;0;0
6;845275;646;388;845275;0;454369;0;0
7;949135;855;493;949135;0;218782;0;0
8;772969;738;489;772969;0;218782;0;0
9;732806;714;499;732806;0;218782;0;0
10;768348;841;389;768348;0;218782;0;0
11;740836;1582;351;740836;0;218782;0;0
12;871981;652;373;871981;0;218782;0;0
13;800737;562;258;800737;0;218782;0;0
14;900258;570;374;900258;0;218782;0;0
15;868677;571;344;868677;0;162301;0;0
16;803596;597;254;803596;0;162301;0;0
17;811763;578;366;811763;0;148202;0;0
18;814588;564;366;814588;0;148202;0;0
19;786202;563;353;786202;0;148202;0;0
20;739409;526;347;739409;0;148202;0;0
21;769552;2642;724;769552;0;148202;0;0
22;777681;511;350;777681;0;148202;0;0
23;811759;584;357;811759;0;148202;0;0
24;882692;1472;546;882692;0;148202;0;0
25;939085;576;374;939085;0;148202;0;0
26;866445;576;436;866445;0;148202;0;0
27;943126;686;537;943126;0;148202;0;0
28;833104;754;578;833104;0;148202;0;0
29;931137;2251;522;931137;0;148202;0;0
30;772586;600;361;772586;0;143166;0;0
31;855480;792;400;855480;0;143166;0;0
32;837755;733;428;837755;0;143166;0;0
33;959341;596;350;959341;0;143166;0;0
34;782669;607;386;782669;0;143166;0;0
35;875588;793;389;875588;0;143166;0;0
36;863811;562;389;863811;0;143166;0;0
37;683001;540;360;683001;0;143166;0;0
38;809029;776;572;809029;0;133812;0;0
39;826776;604;455;826776;0;133812;0;0
40;808156;731;440;808156;0;112156;0;0
41;792343;1082;687;792343;0;112156;0;0
42;801354;723;346;801354;0;112156;0;0
43;683932;834;486;683932;0;112156;0;0
44;824869;715;481;824869;0;112156;0;0
45;838286;2986;585;838286;0;112156;0;0
46;821549;827;520;821549;0;111653;0;0
47;781858;830;485;781858;0;103270;0;0
48;773036;598;412;773036;0;103270;0;0
49;739123;694;499;739123;0;103270;0;0
50;790171;1869;406;790171;0;97793;0;0
51;764371;732;492;764371;0;97793;0;0
52;692876;596;382;692876;0;97793;0;0
53;792259;785;555;792259;0;97793;0;0
54;705128;711;492;705128;0;97793;0;0
55;719992;528;358;719992;0;97793;0;0
56;783509;1698;342;783509;0;97793;0;0
57;790224;487;341;790224;0;97793;0;0
58;736475;808;391;736475;0;97793;0;0
59;812447;684;390;812447;0;97793;0;0
60;864825;528;354;864825;0;97793;0;0
61;794362;511;351;794362;0;97793;0;0
62;777032;523;359;777032;0;97793;0;0
63;801664;498;358;801664;0;97793;0;0
64;798035;491;361;798035;0;97793;0;0
65;757768;1760;340;757768;0;97793;0;0
66;798145;2265;437;798145;0;97793;0;0
67;827919;548;385;827919;0;97793;0;0
68;844601;860;668;844601;0;97793;0;0
69;804669;665;514;804669;0;97793;0;0
70;803207;541;370;803207;0;97793;0;0
71;801476;535;370;801476;0;97793;0;0
72;782820;681;515;782820;0;97793;0;0
73;802852;2168;482;802852;0;97793;0;0
74;777076;727;497;777076;0;97793;0;0
75;802849;595;406;802849;0;97793;0;0
76;789425;741;577;789425;0;97793;0;0
77;685500;541;392;685500;0;97793;0;0
78;869007;670;483;869007;0;97793;0;0
79;752810;575;402;752810;0;97793;0;0
80;686555;508;379;686555;0;97793;0;0
81;774479;512;352;774479;0;97793;0;0
82;765405;704;505;765405;0;97793;0;0
83;777042;681;524;777042;0;97793;0;0
84;774719;557;412;774719;0;95947.1;0;0
85;739253;678;510;739253;0;95947.1;0;0
86;647355;991;662;647355;0;95947.1;0;0
87;792087;698;502;792087;0;95947.1;0;0
88;781505;524;387;781505;0;95947.1;0;0
89;853006;2071;650;853006;0;95947.1;0;0
90;768038;485;356;768038;0;95947.1;0;0
91;801527;456;338;801527;0;95947.1;0;0
92;772001;481;359;772001;0;95947.1;0;0
93;782472;474;338;782472;0;95947.1;0;0
94;779595;456;340;779595;0;95947.1;0;0
95;824033;462;356;824033;0;95947.1;0;0
96;794248;470;358;794248;0;95947.1;0;0
97;763982;490;363;763982;0;95947.1;0;0
98;783217;462;347;783217;0;95947.1;0;0
99;779861;465;352;779861;0;95947.1;0;0
100;800197;549;365;800197;0;95947.1;0;0
101;804005;640;501;804005;0;95947.1;0;0
