generation;evaluationTime;orderTime;fusionTime;totalTime;correlation;acuracy;acuracyAvarange;acuracyVariace
1;1744599;656;394;1744599;0;915286;0;0
2;1811795;883;610;1811795;0;454369;0;0
3;1924592;890;601;1924592;0;454369;0;0
4;1859187;626;365;1859187;0;454369;0;0
5;1872387;745;477;1872387;0;454369;0;0
6;1922127;904;621;1922127;0;454369;0;0
7;2005339;628;429;2005339;0;218782;0;0
8;1683439;535;395;1683439;0;218782;0;0
9;1736254;531;340;1736254;0;218782;0;0
10;1741878;889;458;1741878;0;218782;0;0
11;1923449;1425;303;1923449;0;218782;0;0
12;1928284;526;298;1928284;0;218782;0;0
13;1783155;613;446;1783155;0;218782;0;0
14;1797435;573;362;1797435;0;218782;0;0
15;1335687;507;317;1335687;0;162301;0;0
16;1321338;512;320;1321338;0;162301;0;0
17;1316806;518;318;1316806;0;148202;0;0
18;1318727;518;327;1318727;0;148202;0;0
19;1320556;527;317;1320556;0;148202;0;0
20;1361288;524;316;1361288;0;148202;0;0
21;1361182;1330;321;1361182;0;148202;0;0
22;1360470;505;315;1360470;0;148202;0;0
23;1336227;519;318;1336227;0;148202;0;0
24;1322943;1031;313;1322943;0;148202;0;0
25;1694502;521;344;1694502;0;148202;0;0
26;1542641;619;398;1542641;0;148202;0;0
27;1826900;570;383;1826900;0;148202;0;0
28;1549581;536;343;1549581;0;148202;0;0
29;1513368;1524;363;1513368;0;148202;0;0
30;1763695;516;322;1763695;0;143166;0;0
31;1973559;559;430;1973559;0;143166;0;0
32;1789603;536;348;1789603;0;143166;0;0
33;1931688;524;290;1931688;0;143166;0;0
34;1851955;529;396;1851955;0;143166;0;0
35;1640244;496;366;1640244;0;143166;0;0
36;1573294;504;370;1573294;0;143166;0;0
37;1576775;515;368;1576775;0;143166;0;0
38;1570404;590;371;1570404;0;133812;0;0
39;1572203;518;371;1572203;0;133812;0;0
40;1570852;525;371;1570852;0;112156;0;0
41;1571320;511;368;1571320;0;112156;0;0
42;1569404;582;370;1569404;0;112156;0;0
43;1570520;545;366;1570520;0;112156;0;0
44;1573349;515;360;1573349;0;112156;0;0
45;1571546;1698;380;1571546;0;112156;0;0
46;1719388;545;391;1719388;0;111653;0;0
47;1597744;539;368;1597744;0;103270;0;0
48;1572432;563;366;1572432;0;103270;0;0
49;1572400;491;364;1572400;0;103270;0;0
50;1571980;1667;372;1571980;0;97793;0;0
51;1740068;487;397;1740068;0;97793;0;0
52;1743987;547;394;1743987;0;97793;0;0
53;1575482;489;362;1575482;0;97793;0;0
54;1756093;514;335;1756093;0;97793;0;0
55;1876250;493;308;1876250;0;97793;0;0
56;1758781;1616;364;1758781;0;97793;0;0
57;1989129;540;424;1989129;0;97793;0;0
58;1575890;517;366;1575890;0;97793;0;0
59;1825539;567;516;1825539;0;97793;0;0
60;1704246;550;390;1704246;0;97793;0;0
61;1726959;510;396;1726959;0;97793;0;0
62;1734692;594;471;1734692;0;97793;0;0
63;1947252;549;434;1947252;0;97793;0;0
64;1564603;486;362;1564603;0;97793;0;0
65;1563501;1675;363;1563501;0;97793;0;0
66;1836633;1797;483;1836633;0;97793;0;0
67;1671709;551;389;1671709;0;97793;0;0
68;1729783;486;368;1729783;0;97793;0;0
69;1572593;490;373;1572593;0;97793;0;0
70;1687061;538;413;1687061;0;97793;0;0
71;1713489;507;410;1713489;0;97793;0;0
72;1563134;468;358;1563134;0;97793;0;0
73;1561390;1503;349;1561390;0;97793;0;0
74;1561681;499;361;1561681;0;97793;0;0
75;1813380;518;481;1813380;0;97793;0;0
76;1675452;536;398;1675452;0;97793;0;0
77;1953043;665;434;1953043;0;97793;0;0
78;1785218;600;395;1785218;0;97793;0;0
79;1783779;598;397;1783779;0;97793;0;0
80;1784637;484;413;1784637;0;97793;0;0
81;1920783;535;399;1920783;0;97793;0;0
82;1668029;493;338;1668029;0;97793;0;0
83;1468888;526;351;1468888;0;97793;0;0
84;1361912;478;322;1361912;0;95947.1;0;0
85;1322531;467;323;1322531;0;95947.1;0;0
86;1323155;463;412;1323155;0;95947.1;0;0
87;1323790;454;320;1323790;0;95947.1;0;0
88;1324140;475;323;1324140;0;95947.1;0;0
89;1828653;1917;582;1828653;0;95947.1;0;0
90;1955533;510;386;1955533;0;95947.1;0;0
91;1472450;504;347;1472450;0;95947.1;0;0
92;1553413;461;347;1553413;0;95947.1;0;0
93;1440700;520;347;1440700;0;95947.1;0;0
94;1413943;512;390;1413943;0;95947.1;0;0
95;1910504;506;429;1910504;0;95947.1;0;0
96;1832657;522;418;1832657;0;95947.1;0;0
97;1882744;477;347;1882744;0;95947.1;0;0
98;1723791;559;456;1723791;0;95947.1;0;0
99;1539864;509;348;1539864;0;95947.1;0;0
100;1808868;462;311;1808868;0;95947.1;0;0
101;1468470;505;350;1468470;0;95947.1;0;0
