generation;evaluationTime;orderTime;fusionTime;totalTime;correlation;acuracy;acuracyAvarange;acuracyVariace
1;1185138;661;496;1185138;0;915286;0;0
2;1090103;640;407;1090103;0;454369;0;0
3;1131950;588;368;1131950;0;454369;0;0
4;1174632;606;445;1174632;0;454369;0;0
5;1173115;711;438;1173115;0;454369;0;0
6;1103791;635;395;1103791;0;454369;0;0
7;1167884;630;409;1167884;0;218782;0;0
8;1148160;534;349;1148160;0;218782;0;0
9;1041229;599;386;1041229;0;218782;0;0
10;1154489;837;365;1154489;0;218782;0;0
11;1100473;1598;347;1100473;0;218782;0;0
12;1100159;624;400;1100159;0;218782;0;0
13;1387055;588;420;1387055;0;218782;0;0
14;1384896;571;390;1384896;0;218782;0;0
15;1112375;514;337;1112375;0;162301;0;0
16;1093023;572;357;1093023;0;162301;0;0
17;1088077;588;346;1088077;0;148202;0;0
18;1102980;517;344;1102980;0;148202;0;0
19;1030029;609;385;1030029;0;148202;0;0
20;1083399;607;489;1083399;0;148202;0;0
21;1038519;1620;461;1038519;0;148202;0;0
22;1059619;562;363;1059619;0;148202;0;0
23;1069448;581;390;1069448;0;148202;0;0
24;1038148;1158;490;1038148;0;148202;0;0
25;1272567;520;349;1272567;0;148202;0;0
26;1096050;516;334;1096050;0;148202;0;0
27;1083745;572;410;1083745;0;148202;0;0
28;1029052;639;399;1029052;0;148202;0;0
29;999634;1771;369;999634;0;148202;0;0
30;1204108;562;364;1204108;0;143166;0;0
31;1201549;555;410;1201549;0;143166;0;0
32;1127430;593;392;1127430;0;143166;0;0
33;1203931;517;320;1203931;0;143166;0;0
34;1128439;586;436;1128439;0;143166;0;0
35;1216494;552;383;1216494;0;143166;0;0
36;1086566;555;364;1086566;0;143166;0;0
37;1088760;516;341;1088760;0;143166;0;0
38;1057960;595;374;1057960;0;133812;0;0
39;1202979;529;350;1202979;0;133812;0;0
40;1094725;528;340;1094725;0;112156;0;0
41;1098646;521;340;1098646;0;112156;0;0
42;1095263;567;375;1095263;0;112156;0;0
43;1141087;606;388;1141087;0;112156;0;0
44;1310929;763;538;1310929;0;112156;0;0
45;1071751;2162;517;1071751;0;112156;0;0
46;1230546;552;386;1230546;0;111653;0;0
47;1104592;601;413;1104592;0;103270;0;0
48;1099702;561;366;1099702;0;103270;0;0
49;1018769;601;398;1018769;0;103270;0;0
50;1076557;2734;531;1076557;0;97793;0;0
51;1232263;655;545;1232263;0;97793;0;0
52;1056733;577;386;1056733;0;97793;0;0
53;1050304;568;397;1050304;0;97793;0;0
54;1150136;628;454;1150136;0;97793;0;0
55;1007201;569;394;1007201;0;97793;0;0
56;1184644;1801;397;1184644;0;97793;0;0
57;1050988;787;509;1050988;0;97793;0;0
58;1129137;632;413;1129137;0;97793;0;0
59;1074224;564;405;1074224;0;97793;0;0
60;1108200;595;400;1108200;0;97793;0;0
61;1119366;592;430;1119366;0;97793;0;0
62;1168690;680;502;1168690;0;97793;0;0
63;1365955;730;559;1365955;0;97793;0;0
64;1229637;587;430;1229637;0;97793;0;0
65;1042866;1741;393;1042866;0;97793;0;0
66;1095940;1747;361;1095940;0;97793;0;0
67;1085630;543;364;1085630;0;97793;0;0
68;1122572;529;384;1122572;0;97793;0;0
69;1187519;661;473;1187519;0;97793;0;0
70;1106070;513;333;1106070;0;97793;0;0
71;1264706;562;417;1264706;0;97793;0;0
72;1004329;561;381;1004329;0;97793;0;0
73;1259404;2178;503;1259404;0;97793;0;0
74;1295768;745;556;1295768;0;97793;0;0
75;1292233;715;485;1292233;0;97793;0;0
76;1086470;480;346;1086470;0;97793;0;0
77;1101620;501;360;1101620;0;97793;0;0
78;1134850;675;492;1134850;0;97793;0;0
79;1086850;486;378;1086850;0;97793;0;0
80;1099437;553;340;1099437;0;97793;0;0
81;1087103;538;361;1087103;0;97793;0;0
82;1078157;539;386;1078157;0;97793;0;0
83;1090707;524;381;1090707;0;97793;0;0
84;1049650;573;373;1049650;0;95947.1;0;0
85;1070574;573;395;1070574;0;95947.1;0;0
86;1076307;552;404;1076307;0;95947.1;0;0
87;1034057;562;392;1034057;0;95947.1;0;0
88;1036271;556;408;1036271;0;95947.1;0;0
89;1199621;1163;372;1199621;0;95947.1;0;0
90;1092327;506;362;1092327;0;95947.1;0;0
91;1087994;459;340;1087994;0;95947.1;0;0
92;1096176;511;362;1096176;0;95947.1;0;0
93;1200902;563;397;1200902;0;95947.1;0;0
94;984743;518;396;984743;0;95947.1;0;0
95;1097422;459;336;1097422;0;95947.1;0;0
96;1100527;471;394;1100527;0;95947.1;0;0
97;1099088;454;385;1099088;0;95947.1;0;0
98;1097733;511;367;1097733;0;95947.1;0;0
99;1081972;466;344;1081972;0;95947.1;0;0
100;1099753;460;341;1099753;0;95947.1;0;0
101;1205369;506;416;1205369;0;95947.1;0;0
