generation;evaluationTime;orderTime;fusionTime;totalTime;correlation;acuracy;acuracyAvarange;acuracyVariace
1;752085;981;2134;752085;0;915286;0;0
2;644090;592;465;644090;0;454369;0;0
3;448131;756;443;448131;0;454369;0;0
4;739028;767;342;739028;0;454369;0;0
5;678077;3719;464;678077;0;454369;0;0
6;702940;748;480;702940;0;454369;0;0
7;658227;795;499;658227;0;218782;0;0
8;600837;735;356;600837;0;218782;0;0
9;605825;724;526;605825;0;218782;0;0
10;616655;1071;526;616655;0;218782;0;0
11;650799;2558;692;650799;0;218782;0;0
12;606550;768;533;606550;0;218782;0;0
13;553338;723;498;553338;0;218782;0;0
14;618589;805;522;618589;0;218782;0;0
15;648222;708;521;648222;0;162301;0;0
16;631094;734;534;631094;0;162301;0;0
17;610098;780;549;610098;0;148202;0;0
18;613857;728;491;613857;0;148202;0;0
19;660304;732;656;660304;0;148202;0;0
20;636403;589;377;636403;0;148202;0;0
21;625381;1887;535;625381;0;148202;0;0
22;601729;659;520;601729;0;148202;0;0
23;627588;722;349;627588;0;148202;0;0
24;651654;1511;521;651654;0;148202;0;0
25;673163;599;390;673163;0;148202;0;0
26;294942;777;516;294942;0;148202;0;0
27;691916;688;474;691916;0;148202;0;0
28;667915;1014;688;667915;0;148202;0;0
29;500242;2658;754;500242;0;148202;0;0
30;481423;565;416;481423;0;143166;0;0
31;650372;732;517;650372;0;143166;0;0
32;616269;3897;545;616269;0;143166;0;0
33;561551;716;369;561551;0;143166;0;0
34;622271;770;545;622271;0;143166;0;0
35;690296;697;371;690296;0;143166;0;0
36;623305;566;466;623305;0;143166;0;0
37;586057;771;536;586057;0;143166;0;0
38;611083;794;602;611083;0;133812;0;0
39;612330;728;522;612330;0;133812;0;0
40;612644;774;537;612644;0;112156;0;0
41;609691;738;526;609691;0;112156;0;0
42;654018;733;513;654018;0;112156;0;0
43;629544;804;519;629544;0;112156;0;0
44;628192;776;516;628192;0;112156;0;0
45;506292;2460;593;506292;0;112156;0;0
46;632599;706;519;632599;0;111653;0;0
47;263676;752;506;263676;0;103270;0;0
48;631075;1052;698;631075;0;103270;0;0
49;632843;806;514;632843;0;103270;0;0
50;624293;2548;558;624293;0;97793;0;0
51;553558;741;441;553558;0;97793;0;0
52;660875;565;439;660875;0;97793;0;0
53;371866;708;563;371866;0;97793;0;0
54;677096;715;376;677096;0;97793;0;0
55;628603;709;539;628603;0;97793;0;0
56;374234;2328;434;374234;0;97793;0;0
57;609426;685;505;609426;0;97793;0;0
58;581092;807;440;581092;0;97793;0;0
59;320083;706;461;320083;0;97793;0;0
60;432113;660;366;432113;0;97793;0;0
61;671663;748;525;671663;0;97793;0;0
62;518275;584;517;518275;0;97793;0;0
63;601716;745;517;601716;0;97793;0;0
64;620251;741;518;620251;0;97793;0;0
65;597462;3290;581;597462;0;97793;0;0
66;560706;6317;697;560706;0;97793;0;0
67;605890;705;509;605890;0;97793;0;0
68;603874;507;405;603874;0;97793;0;0
69;598489;632;448;598489;0;97793;0;0
70;654356;635;420;654356;0;97793;0;0
71;441386;688;455;441386;0;97793;0;0
72;618694;591;532;618694;0;97793;0;0
73;591451;2221;490;591451;0;97793;0;0
74;651986;781;447;651986;0;97793;0;0
75;250579;709;632;250579;0;97793;0;0
76;643217;955;701;643217;0;97793;0;0
77;580787;736;511;580787;0;97793;0;0
78;619803;807;602;619803;0;97793;0;0
79;620404;729;520;620404;0;97793;0;0
80;617290;730;516;617290;0;97793;0;0
81;602542;776;525;602542;0;97793;0;0
82;543894;701;522;543894;0;97793;0;0
83;606371;696;531;606371;0;97793;0;0
84;637345;722;393;637345;0;95947.1;0;0
85;621147;679;525;621147;0;95947.1;0;0
86;622287;658;527;622287;0;95947.1;0;0
87;633378;2692;500;633378;0;95947.1;0;0
88;617537;498;346;617537;0;95947.1;0;0
89;589523;2289;688;589523;0;95947.1;0;0
90;606340;644;529;606340;0;95947.1;0;0
91;584624;481;359;584624;0;95947.1;0;0
92;616852;648;525;616852;0;95947.1;0;0
93;612565;528;397;612565;0;95947.1;0;0
94;582743;645;540;582743;0;95947.1;0;0
95;600729;709;520;600729;0;95947.1;0;0
96;645425;3286;689;645425;0;95947.1;0;0
97;620543;657;520;620543;0;95947.1;0;0
98;585428;655;589;585428;0;95947.1;0;0
99;622538;692;563;622538;0;95947.1;0;0
100;627160;646;458;627160;0;95947.1;0;0
101;638013;607;437;638013;0;95947.1;0;0
